station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
FAGG,2026-06-24 21:03,53.60,53.60,100.00,110.00,6.00,0.00,30.21,M,6.21,M,FEW,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,53.60,FAGG 242103Z AUTO 11006KT 9999 FEW020/// 12/12 Q1023,M
FAGG,2026-06-24 22:00,55.40,53.60,93.65,90.00,7.00,0.00,30.21,M,6.21,M,FEW,SCT,M,M,1500.00,19000.00,M,M,M,M,M,M,M,M,M,55.40,FAGG 242200Z AUTO 09007KT 9999 FEW015/// SCT190/// 13/12 Q1023,M
FAGG,2026-06-24 22:09,55.40,53.60,93.65,90.00,6.00,0.00,30.21,M,6.21,M,FEW,SCT,M,M,1500.00,18000.00,M,M,M,M,M,M,M,M,M,55.40,FAGG 242209Z AUTO 09006KT 9999 FEW015/// SCT180/// 13/12 Q1023,M
FAGG,2026-06-24 22:15,55.40,53.60,93.65,90.00,7.00,0.00,30.21,M,6.21,M,FEW,SCT,M,M,1500.00,18000.00,M,M,M,M,M,M,M,M,M,55.40,FAGG 242215Z AUTO 09007KT 9999 FEW015/// SCT180/// 13/12 Q1023,M
FAGG,2026-06-24 23:00,55.40,53.60,93.65,100.00,7.00,0.00,30.21,M,6.21,M,FEW,M,M,M,21000.00,M,M,M,M,M,M,M,M,M,M,55.40,FAGG 242300Z AUTO 10007KT 9999 FEW210/// 13/12 Q1023,M
FAGG,2026-06-24 23:23,53.60,51.80,93.60,110.00,5.00,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,FAGG 242323Z AUTO 11005KT CAVOK 12/11 Q1022,M
FAGG,2026-06-25 00:00,51.80,50.00,93.55,340.00,4.00,0.00,30.18,M,6.21,M,FEW,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,51.80,FAGG 250000Z AUTO 34004KT 9999 FEW120/// 11/10 Q1022,M
FAGG,2026-06-25 01:00,51.80,50.00,93.55,320.00,5.00,0.00,30.18,M,6.21,M,SCT,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,51.80,FAGG 250100Z AUTO 32005KT 9999 SCT100/// 11/10 Q1022,M
FAGG,2026-06-25 02:00,51.80,50.00,93.55,330.00,2.00,0.00,30.15,M,6.21,M,FEW,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,51.80,FAGG 250200Z AUTO 33002KT 9999 FEW100/// 11/10 Q1021,M
FAGG,2026-06-25 03:00,51.80,50.00,93.55,50.00,3.00,0.00,30.12,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,FAGG 250300Z 05003KT CAVOK 11/10 Q1020,M
FAGG,2026-06-25 04:00,51.80,50.00,93.55,250.00,4.00,0.00,30.12,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,FAGG 250400Z 25004KT CAVOK 11/10 Q1020,M
FAGG,2026-06-25 05:00,51.80,50.00,93.55,310.00,5.00,0.00,30.15,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,FAGG 250500Z 31005KT CAVOK 11/10 Q1021,M
FAGG,2026-06-25 06:00,51.80,50.00,93.55,300.00,6.00,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,FAGG 250600Z 30006KT CAVOK 11/10 Q1022,M
FAGG,2026-06-25 07:00,53.60,51.80,93.60,310.00,4.00,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,FAGG 250700Z 31004KT CAVOK 12/11 Q1022,M
FAGG,2026-06-25 08:00,57.20,53.60,87.75,300.00,6.00,0.00,30.21,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,FAGG 250800Z 30006KT CAVOK 14/12 Q1023,M
FAGG,2026-06-25 08:10,57.20,53.60,87.75,280.00,6.00,0.00,30.21,M,6.21,M,FEW,M,M,M,8000.00,M,M,M,TS,M,M,M,M,M,M,57.20,FAGG 250810Z 28006KT 9999 TS FEW080CB 14/12 Q1023,M
FAGG,2026-06-25 08:24,57.20,53.60,87.75,300.00,5.00,0.00,30.21,M,6.21,M,FEW,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,57.20,FAGG 250824Z 30005KT 9999 FEW080CB 14/12 Q1023 RETS,M
FAGG,2026-06-25 08:49,60.80,53.60,77.15,280.00,5.00,0.00,30.21,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,FAGG 250849Z 28005KT 250V310 CAVOK 16/12 Q1023,M
FAGG,2026-06-25 09:00,60.80,55.40,82.38,270.00,5.00,0.00,30.21,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,FAGG 250900Z 27005KT 250V310 CAVOK 16/13 Q1023,M
FAGG,2026-06-25 10:00,64.40,53.60,67.97,280.00,3.00,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.40,FAGG 251000Z 28003KT 230V340 CAVOK 18/12 Q1022,M
FAGG,2026-06-25 11:00,66.20,53.60,63.85,M,3.00,0.00,30.15,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.20,FAGG 251100Z VRB03KT CAVOK 19/12 Q1021,M
FAGG,2026-06-25 11:56,66.20,55.40,68.18,10.00,7.00,0.00,30.12,M,6.21,17.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.20,FAGG 251156Z 01007G17KT 300V080 CAVOK 19/13 Q1020,M
FAGG,2026-06-25 12:00,66.20,55.40,68.18,10.00,7.00,0.00,30.12,M,6.21,17.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.20,FAGG 251200Z 01007G17KT 300V080 CAVOK 19/13 Q1020,M
FAGG,2026-06-25 13:00,64.40,57.20,77.46,140.00,6.00,0.00,30.12,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.40,FAGG 251300Z 14006KT 110V190 CAVOK 18/14 Q1020,M
FAGG,2026-06-25 14:00,62.60,57.20,82.51,190.00,4.00,0.00,30.12,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,62.60,FAGG 251400Z 19004KT 160V240 CAVOK 17/14 Q1020,M
FAGG,2026-06-25 15:00,60.80,57.20,87.93,30.00,3.00,0.00,30.15,M,5.59,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,FAGG 251500Z 03003KT 340V090 9000 NSC 16/14 Q1021,M
FAGG,2026-06-25 16:00,60.80,57.20,87.93,40.00,4.00,0.00,30.15,M,6.21,M,FEW,M,M,M,4900.00,M,M,M,-RA,M,M,M,M,M,M,60.80,FAGG 251600Z 04004KT 340V090 9999 -RA FEW049 16/14 Q1021,M
FAGG,2026-06-25 17:00,59.00,57.20,93.74,30.00,6.00,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,FAGG 251700Z 03006KT 280V090 CAVOK 15/14 Q1022,M
FAGG,2026-06-25 18:00,57.20,55.40,93.70,80.00,5.00,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,FAGG 251800Z 08005KT CAVOK 14/13 Q1022,M
FAGG,2026-06-25 18:22,60.80,55.40,82.38,40.00,4.00,0.00,30.18,M,6.21,M,FEW,SCT,M,M,11000.00,13000.00,M,M,M,M,M,M,M,M,M,60.80,FAGG 251822Z AUTO 04004KT 9999 FEW110/// SCT130/// 16/13 Q1022,M
FAGG,2026-06-25 19:00,59.00,55.40,87.84,200.00,7.00,0.00,30.18,M,6.21,M,SCT,SCT,BKN,M,10000.00,12000.00,19000.00,M,M,M,M,M,M,M,M,59.00,FAGG 251900Z AUTO 20007KT 9999 SCT100/// SCT120/// BKN190/// 15/13 Q1022,M
